NodeId	T92.kappa	T92.theta
12	3.07515	0.92063
17	3.07515	0.92063
28	3.07515	0.92063
45	3.07515	0.92063
113	3.07515	0.92063
124	3.07515	0.92063
128	3.07515	0.92063
130	3.07515	0.92063
132	3.07515	0.92063
151	3.07515	0.92063
152	3.07515	0.92063
153	3.07515	0.92063
157	3.07515	0.92063
168	3.07515	0.92063
170	3.07515	0.92063
177	3.07515	0.92063
5	3.07515	0.426196
9	3.07515	0.426196
22	3.07515	0.426196
29	3.07515	0.426196
30	3.07515	0.426196
33	3.07515	0.426196
40	3.07515	0.426196
49	3.07515	0.426196
57	3.07515	0.426196
58	3.07515	0.426196
69	3.07515	0.426196
70	3.07515	0.426196
72	3.07515	0.426196
73	3.07515	0.426196
74	3.07515	0.426196
84	3.07515	0.426196
85	3.07515	0.426196
91	3.07515	0.426196
92	3.07515	0.426196
100	3.07515	0.426196
102	3.07515	0.426196
107	3.07515	0.426196
111	3.07515	0.426196
117	3.07515	0.426196
122	3.07515	0.426196
138	3.07515	0.426196
173	3.07515	0.426196
174	3.07515	0.426196
178	3.07515	0.426196
179	3.07515	0.426196
1	3.07515	0.256959
2	3.07515	0.256959
3	3.07515	0.256959
13	3.07515	0.256959
18	3.07515	0.256959
25	3.07515	0.256959
34	3.07515	0.256959
35	3.07515	0.256959
38	3.07515	0.256959
83	3.07515	0.256959
87	3.07515	0.256959
89	3.07515	0.256959
96	3.07515	0.256959
101	3.07515	0.256959
127	3.07515	0.256959
135	3.07515	0.256959
136	3.07515	0.256959
140	3.07515	0.256959
143	3.07515	0.256959
148	3.07515	0.256959
161	3.07515	0.256959
24	3.07515	0.317028
39	3.07515	0.317028
44	3.07515	0.317028
78	3.07515	0.317028
80	3.07515	0.317028
82	3.07515	0.317028
86	3.07515	0.317028
93	3.07515	0.317028
94	3.07515	0.317028
97	3.07515	0.317028
98	3.07515	0.317028
105	3.07515	0.317028
106	3.07515	0.317028
119	3.07515	0.317028
144	3.07515	0.317028
159	3.07515	0.317028
164	3.07515	0.317028
165	3.07515	0.317028
167	3.07515	0.317028
0	3.07515	0.777658
6	3.07515	0.777658
7	3.07515	0.777658
8	3.07515	0.777658
11	3.07515	0.777658
36	3.07515	0.777658
42	3.07515	0.777658
50	3.07515	0.777658
64	3.07515	0.777658
81	3.07515	0.777658
95	3.07515	0.777658
108	3.07515	0.777658
110	3.07515	0.777658
112	3.07515	0.777658
120	3.07515	0.777658
134	3.07515	0.777658
149	3.07515	0.777658
150	3.07515	0.777658
154	3.07515	0.777658
156	3.07515	0.777658
166	3.07515	0.777658
171	3.07515	0.777658
10	3.07515	0.639241
20	3.07515	0.639241
27	3.07515	0.639241
31	3.07515	0.639241
52	3.07515	0.639241
56	3.07515	0.639241
59	3.07515	0.639241
61	3.07515	0.639241
62	3.07515	0.639241
63	3.07515	0.639241
68	3.07515	0.639241
71	3.07515	0.639241
99	3.07515	0.639241
103	3.07515	0.639241
121	3.07515	0.639241
137	3.07515	0.639241
139	3.07515	0.639241
141	3.07515	0.639241
142	3.07515	0.639241
145	3.07515	0.639241
146	3.07515	0.639241
175	3.07515	0.639241
176	3.07515	0.639241
4	3.07515	0.5788
14	3.07515	0.5788
15	3.07515	0.5788
16	3.07515	0.5788
19	3.07515	0.5788
21	3.07515	0.5788
26	3.07515	0.5788
32	3.07515	0.5788
37	3.07515	0.5788
41	3.07515	0.5788
46	3.07515	0.5788
47	3.07515	0.5788
48	3.07515	0.5788
53	3.07515	0.5788
54	3.07515	0.5788
55	3.07515	0.5788
60	3.07515	0.5788
65	3.07515	0.5788
66	3.07515	0.5788
79	3.07515	0.5788
109	3.07515	0.5788
114	3.07515	0.5788
115	3.07515	0.5788
116	3.07515	0.5788
123	3.07515	0.5788
125	3.07515	0.5788
126	3.07515	0.5788
129	3.07515	0.5788
131	3.07515	0.5788
133	3.07515	0.5788
155	3.07515	0.5788
160	3.07515	0.5788
162	3.07515	0.5788
163	3.07515	0.5788
169	3.07515	0.5788
172	3.07515	0.5788
180	3.07515	0.5788
23	3.07515	0.519983
43	3.07515	0.519983
51	3.07515	0.519983
67	3.07515	0.519983
75	3.07515	0.519983
76	3.07515	0.519983
77	3.07515	0.519983
88	3.07515	0.519983
90	3.07515	0.519983
104	3.07515	0.519983
118	3.07515	0.519983
147	3.07515	0.519983
158	3.07515	0.519983
181	3.07515	0.519983
