NodeId	T92.kappa	T92.theta
12	3.07275	0.920674
17	3.07275	0.920674
28	3.07275	0.920674
45	3.07275	0.920674
113	3.07275	0.920674
124	3.07275	0.920674
128	3.07275	0.920674
130	3.07275	0.920674
132	3.07275	0.920674
151	3.07275	0.920674
152	3.07275	0.920674
153	3.07275	0.920674
157	3.07275	0.920674
168	3.07275	0.920674
170	3.07275	0.920674
177	3.07275	0.920674
4	3.07275	0.541241
14	3.07275	0.541241
15	3.07275	0.541241
16	3.07275	0.541241
19	3.07275	0.541241
21	3.07275	0.541241
23	3.07275	0.541241
26	3.07275	0.541241
32	3.07275	0.541241
37	3.07275	0.541241
41	3.07275	0.541241
43	3.07275	0.541241
46	3.07275	0.541241
47	3.07275	0.541241
48	3.07275	0.541241
51	3.07275	0.541241
53	3.07275	0.541241
54	3.07275	0.541241
55	3.07275	0.541241
60	3.07275	0.541241
65	3.07275	0.541241
66	3.07275	0.541241
67	3.07275	0.541241
75	3.07275	0.541241
76	3.07275	0.541241
77	3.07275	0.541241
79	3.07275	0.541241
88	3.07275	0.541241
90	3.07275	0.541241
104	3.07275	0.541241
109	3.07275	0.541241
114	3.07275	0.541241
115	3.07275	0.541241
116	3.07275	0.541241
118	3.07275	0.541241
123	3.07275	0.541241
125	3.07275	0.541241
126	3.07275	0.541241
129	3.07275	0.541241
131	3.07275	0.541241
133	3.07275	0.541241
147	3.07275	0.541241
155	3.07275	0.541241
158	3.07275	0.541241
160	3.07275	0.541241
162	3.07275	0.541241
163	3.07275	0.541241
169	3.07275	0.541241
172	3.07275	0.541241
180	3.07275	0.541241
181	3.07275	0.541241
5	3.07275	0.425145
9	3.07275	0.425145
22	3.07275	0.425145
29	3.07275	0.425145
30	3.07275	0.425145
33	3.07275	0.425145
40	3.07275	0.425145
49	3.07275	0.425145
57	3.07275	0.425145
58	3.07275	0.425145
69	3.07275	0.425145
70	3.07275	0.425145
72	3.07275	0.425145
73	3.07275	0.425145
74	3.07275	0.425145
84	3.07275	0.425145
85	3.07275	0.425145
91	3.07275	0.425145
92	3.07275	0.425145
100	3.07275	0.425145
102	3.07275	0.425145
107	3.07275	0.425145
111	3.07275	0.425145
117	3.07275	0.425145
122	3.07275	0.425145
138	3.07275	0.425145
173	3.07275	0.425145
174	3.07275	0.425145
178	3.07275	0.425145
179	3.07275	0.425145
1	3.07275	0.256422
2	3.07275	0.256422
3	3.07275	0.256422
13	3.07275	0.256422
18	3.07275	0.256422
25	3.07275	0.256422
34	3.07275	0.256422
35	3.07275	0.256422
38	3.07275	0.256422
83	3.07275	0.256422
87	3.07275	0.256422
89	3.07275	0.256422
96	3.07275	0.256422
101	3.07275	0.256422
127	3.07275	0.256422
135	3.07275	0.256422
136	3.07275	0.256422
140	3.07275	0.256422
143	3.07275	0.256422
148	3.07275	0.256422
161	3.07275	0.256422
24	3.07275	0.316506
39	3.07275	0.316506
44	3.07275	0.316506
78	3.07275	0.316506
80	3.07275	0.316506
82	3.07275	0.316506
86	3.07275	0.316506
93	3.07275	0.316506
94	3.07275	0.316506
97	3.07275	0.316506
98	3.07275	0.316506
105	3.07275	0.316506
106	3.07275	0.316506
119	3.07275	0.316506
144	3.07275	0.316506
159	3.07275	0.316506
164	3.07275	0.316506
165	3.07275	0.316506
167	3.07275	0.316506
0	3.07275	0.778745
6	3.07275	0.778745
7	3.07275	0.778745
8	3.07275	0.778745
11	3.07275	0.778745
36	3.07275	0.778745
42	3.07275	0.778745
50	3.07275	0.778745
64	3.07275	0.778745
81	3.07275	0.778745
95	3.07275	0.778745
108	3.07275	0.778745
110	3.07275	0.778745
112	3.07275	0.778745
120	3.07275	0.778745
134	3.07275	0.778745
149	3.07275	0.778745
150	3.07275	0.778745
154	3.07275	0.778745
156	3.07275	0.778745
166	3.07275	0.778745
171	3.07275	0.778745
10	3.07275	0.63946
20	3.07275	0.63946
27	3.07275	0.63946
31	3.07275	0.63946
52	3.07275	0.63946
56	3.07275	0.63946
59	3.07275	0.63946
61	3.07275	0.63946
62	3.07275	0.63946
63	3.07275	0.63946
68	3.07275	0.63946
71	3.07275	0.63946
99	3.07275	0.63946
103	3.07275	0.63946
121	3.07275	0.63946
137	3.07275	0.63946
139	3.07275	0.63946
141	3.07275	0.63946
142	3.07275	0.63946
145	3.07275	0.63946
146	3.07275	0.63946
175	3.07275	0.63946
176	3.07275	0.63946
