NodeId	T92.kappa	T92.theta
1	3.09369	0.328295
2	3.09369	0.328295
3	3.09369	0.328295
5	3.09369	0.328295
24	3.09369	0.328295
35	3.09369	0.328295
39	3.09369	0.328295
44	3.09369	0.328295
78	3.09369	0.328295
79	3.09369	0.328295
80	3.09369	0.328295
82	3.09369	0.328295
83	3.09369	0.328295
86	3.09369	0.328295
87	3.09369	0.328295
89	3.09369	0.328295
92	3.09369	0.328295
93	3.09369	0.328295
94	3.09369	0.328295
96	3.09369	0.328295
97	3.09369	0.328295
98	3.09369	0.328295
101	3.09369	0.328295
105	3.09369	0.328295
106	3.09369	0.328295
144	3.09369	0.328295
161	3.09369	0.328295
167	3.09369	0.328295
6	3.09369	0.866562
7	3.09369	0.866562
112	3.09369	0.866562
149	3.09369	0.866562
150	3.09369	0.866562
151	3.09369	0.866562
152	3.09369	0.866562
153	3.09369	0.866562
154	3.09369	0.866562
156	3.09369	0.866562
168	3.09369	0.866562
170	3.09369	0.866562
171	3.09369	0.866562
4	3.09369	0.538526
26	3.09369	0.538526
43	3.09369	0.538526
51	3.09369	0.538526
54	3.09369	0.538526
55	3.09369	0.538526
65	3.09369	0.538526
66	3.09369	0.538526
75	3.09369	0.538526
76	3.09369	0.538526
77	3.09369	0.538526
84	3.09369	0.538526
109	3.09369	0.538526
113	3.09369	0.538526
114	3.09369	0.538526
119	3.09369	0.538526
123	3.09369	0.538526
124	3.09369	0.538526
125	3.09369	0.538526
126	3.09369	0.538526
127	3.09369	0.538526
128	3.09369	0.538526
129	3.09369	0.538526
130	3.09369	0.538526
131	3.09369	0.538526
132	3.09369	0.538526
133	3.09369	0.538526
134	3.09369	0.538526
135	3.09369	0.538526
143	3.09369	0.538526
148	3.09369	0.538526
155	3.09369	0.538526
157	3.09369	0.538526
158	3.09369	0.538526
159	3.09369	0.538526
160	3.09369	0.538526
162	3.09369	0.538526
163	3.09369	0.538526
164	3.09369	0.538526
165	3.09369	0.538526
166	3.09369	0.538526
169	3.09369	0.538526
180	3.09369	0.538526
181	3.09369	0.538526
9	3.09369	0.441101
13	3.09369	0.441101
14	3.09369	0.441101
15	3.09369	0.441101
16	3.09369	0.441101
17	3.09369	0.441101
18	3.09369	0.441101
19	3.09369	0.441101
22	3.09369	0.441101
23	3.09369	0.441101
25	3.09369	0.441101
28	3.09369	0.441101
29	3.09369	0.441101
30	3.09369	0.441101
32	3.09369	0.441101
33	3.09369	0.441101
34	3.09369	0.441101
38	3.09369	0.441101
40	3.09369	0.441101
47	3.09369	0.441101
48	3.09369	0.441101
49	3.09369	0.441101
57	3.09369	0.441101
67	3.09369	0.441101
69	3.09369	0.441101
70	3.09369	0.441101
72	3.09369	0.441101
73	3.09369	0.441101
74	3.09369	0.441101
85	3.09369	0.441101
88	3.09369	0.441101
90	3.09369	0.441101
91	3.09369	0.441101
100	3.09369	0.441101
102	3.09369	0.441101
104	3.09369	0.441101
107	3.09369	0.441101
111	3.09369	0.441101
115	3.09369	0.441101
116	3.09369	0.441101
117	3.09369	0.441101
118	3.09369	0.441101
122	3.09369	0.441101
136	3.09369	0.441101
138	3.09369	0.441101
140	3.09369	0.441101
142	3.09369	0.441101
147	3.09369	0.441101
172	3.09369	0.441101
173	3.09369	0.441101
174	3.09369	0.441101
178	3.09369	0.441101
179	3.09369	0.441101
0	3.09369	0.673561
20	3.09369	0.673561
31	3.09369	0.673561
37	3.09369	0.673561
52	3.09369	0.673561
53	3.09369	0.673561
56	3.09369	0.673561
58	3.09369	0.673561
59	3.09369	0.673561
60	3.09369	0.673561
61	3.09369	0.673561
62	3.09369	0.673561
63	3.09369	0.673561
64	3.09369	0.673561
71	3.09369	0.673561
99	3.09369	0.673561
110	3.09369	0.673561
137	3.09369	0.673561
141	3.09369	0.673561
145	3.09369	0.673561
146	3.09369	0.673561
175	3.09369	0.673561
176	3.09369	0.673561
8	3.09369	0.772749
10	3.09369	0.772749
11	3.09369	0.772749
12	3.09369	0.772749
21	3.09369	0.772749
27	3.09369	0.772749
36	3.09369	0.772749
41	3.09369	0.772749
42	3.09369	0.772749
45	3.09369	0.772749
46	3.09369	0.772749
50	3.09369	0.772749
68	3.09369	0.772749
81	3.09369	0.772749
95	3.09369	0.772749
103	3.09369	0.772749
108	3.09369	0.772749
120	3.09369	0.772749
121	3.09369	0.772749
139	3.09369	0.772749
177	3.09369	0.772749
