NodeId	T92.kappa	T92.theta
81	3.19913	0.699229
35	3.19913	0.177013
168	3.19913	0.903906
170	3.19913	0.903906
171	3.19913	0.903906
169	3.19913	0.662176
150	3.19913	0.800583
151	3.19913	0.800583
152	3.19913	0.800583
153	3.19913	0.800583
154	3.19913	0.800583
149	3.19913	0.819531
45	3.19913	0.755484
46	3.19913	0.755484
44	3.19913	0.465863
9	3.19913	0.633455
144	3.19913	0.236343
95	3.19913	0.773891
172	3.19913	0.384181
173	3.19913	0.384181
174	3.19913	0.384181
175	3.19913	0.609837
176	3.19913	0.609837
111	3.19913	0.270878
99	3.19913	0.654188
1	3.19913	0.565869
2	3.19913	0.565869
3	3.19913	0.565869
5	3.19913	0.565869
4	3.19913	0.685769
13	3.19913	0.695872
14	3.19913	0.695872
15	3.19913	0.695872
16	3.19913	0.695872
17	3.19913	0.695872
18	3.19913	0.695872
19	3.19913	0.695872
31	3.19913	0.819146
36	3.19913	0.751012
37	3.19913	0.751012
88	3.19913	0.456489
43	3.19913	0.752549
79	3.19913	0.326951
80	3.19913	0.326951
82	3.19913	0.326951
83	3.19913	0.326951
84	3.19913	0.326951
85	3.19913	0.326951
86	3.19913	0.326951
87	3.19913	0.326951
89	3.19913	0.326951
93	3.19913	0.326951
94	3.19913	0.326951
96	3.19913	0.326951
97	3.19913	0.326951
98	3.19913	0.326951
100	3.19913	0.326951
101	3.19913	0.326951
105	3.19913	0.326951
106	3.19913	0.326951
107	3.19913	0.326951
90	3.19913	0.375449
91	3.19913	0.375449
92	3.19913	0.375449
26	3.19913	0.605466
47	3.19913	0.474675
48	3.19913	0.474675
49	3.19913	0.474675
50	3.19913	0.590386
51	3.19913	0.590386
52	3.19913	0.590386
53	3.19913	0.590386
54	3.19913	0.590386
55	3.19913	0.590386
56	3.19913	0.486102
57	3.19913	0.486102
58	3.19913	0.486102
59	3.19913	0.486102
60	3.19913	0.486102
61	3.19913	0.486102
62	3.19913	0.486102
63	3.19913	0.486102
64	3.19913	0.486102
65	3.19913	0.486102
66	3.19913	0.486102
67	3.19913	0.486102
68	3.19913	0.486102
69	3.19913	0.453607
70	3.19913	0.453607
71	3.19913	0.453607
72	3.19913	0.453607
73	3.19913	0.453607
74	3.19913	0.453607
75	3.19913	0.453607
76	3.19913	0.453607
77	3.19913	0.453607
78	3.19913	0.453607
22	3.19913	0.496227
23	3.19913	0.496227
24	3.19913	0.496227
25	3.19913	0.496227
28	3.19913	0.496227
29	3.19913	0.496227
30	3.19913	0.496227
32	3.19913	0.496227
33	3.19913	0.496227
34	3.19913	0.496227
38	3.19913	0.496227
39	3.19913	0.496227
40	3.19913	0.496227
27	3.19913	0.647925
112	3.19913	0.666519
0	3.19913	0.823607
6	3.19913	0.823607
7	3.19913	0.823607
8	3.19913	0.823607
10	3.19913	0.823607
11	3.19913	0.823607
12	3.19913	0.823607
20	3.19913	0.823607
21	3.19913	0.823607
41	3.19913	0.823607
42	3.19913	0.823607
110	3.19913	0.823607
108	3.19913	0.796301
109	3.19913	0.796301
177	3.19913	0.534594
179	3.19913	0.534594
180	3.19913	0.534594
181	3.19913	0.534594
178	3.19913	0.333174
162	3.19913	0.398682
163	3.19913	0.398682
164	3.19913	0.398682
165	3.19913	0.398682
166	3.19913	0.398682
160	3.19913	0.278476
161	3.19913	1e-06
167	3.19913	1e-06
102	3.19913	0.535257
104	3.19913	0.535257
103	3.19913	0.726426
156	3.19913	0.786743
120	3.19913	0.639299
145	3.19913	0.586749
146	3.19913	0.586749
113	3.19913	0.393048
114	3.19913	0.393048
115	3.19913	0.393048
116	3.19913	0.393048
117	3.19913	0.393048
118	3.19913	0.393048
119	3.19913	0.393048
122	3.19913	0.393048
123	3.19913	0.393048
124	3.19913	0.393048
125	3.19913	0.393048
126	3.19913	0.393048
127	3.19913	0.393048
128	3.19913	0.393048
129	3.19913	0.393048
130	3.19913	0.393048
131	3.19913	0.393048
132	3.19913	0.393048
133	3.19913	0.393048
134	3.19913	0.393048
135	3.19913	0.393048
136	3.19913	0.393048
137	3.19913	0.393048
138	3.19913	0.393048
139	3.19913	0.393048
140	3.19913	0.393048
142	3.19913	0.393048
143	3.19913	0.393048
147	3.19913	0.393048
148	3.19913	0.393048
155	3.19913	0.393048
157	3.19913	0.393048
158	3.19913	0.393048
159	3.19913	0.393048
121	3.19913	0.621653
141	3.19913	0.538506
