"Id","Name","BrLen1","BrLen2","T92.kappa","T92.theta","NHML"
0,"Desulfu_mo",0.0315734,0.034,3.10041,0.716118,0.7425
1,"Sulfolo_so",0.0306708,0.0302,3.10041,0.598646,0.4356
2,"Sulfolo_ac",0.0032003,0.0021,3.10041,0.598646,0
3,,0.0113498,0.008221,3.10041,0.598646,0
4,"Acidian_in",0.0456485,0.0472,3.10041,0.598646,0.6701
5,,0.0517854,0.050913,3.10041,0.598646,0.7192
6,,0.023487,0.023438,3.10041,0.716118,0.7577
7,"Aeropyr_pe",0.0350643,0.0382,3.10041,0.716118,0.8473
8,,0.0232933,0.025218,3.10041,0.716118,0.8609
9,"Thermof_pe",0.0799874,0.076,3.10041,0.621593,0.6244
10,,0.0372744,0.038204,3.10041,0.716118,0.7833
11,"Nanoarc_eq",0.168195,0.1745,3.10041,0.716118,0.7836
12,,0.0122941,0.019512,3.10041,0.716118,1
13,"Pyrococ_fu",0.0140489,0.0148,3.10041,0.716118,0.7926
14,"Pyrococ_ho","1e-06",0,3.10041,0.716118,1
15,"Pyrococ_ab","1e-06",0,3.10041,0.716118,1
16,,"1e-06","1e-06",3.10041,0.716118,1
17,,0.00376409,0.004968,3.10041,0.716118,1
18,"Thermoc_ce",0.00369521,0.0104,3.10041,"1e-12",0
19,,0.0433768,0.04574,3.10041,0.716118,0.7625
20,"Methano_ka",0.0650057,0.0709,3.10041,0.716118,0.8304
21,,"1e-06",0.003909,3.10041,0.716118,0
22,"Methano_ma",0.052122,0.05,3.10041,0.493728,0.431
23,"Methano_ac",0.0625342,0.0634,3.10041,0.493728,0.6204
24,,0.0394013,0.038319,3.10041,0.493728,0.4029
25,"Halofer_me",0.011419,0.0098,3.10041,0.493728,0.306
26,"Natrono_ma",0.0535969,0.0523,3.10041,0.592834,0.569
27,"Haloarc_ma",0.0278263,0.0267,3.10041,0.493728,0.5615
28,,0.0103967,0.012628,3.10041,0.493728,1
29,,0.129745,0.130594,3.10041,0.493728,0.5814
30,,0.0317263,0.029385,3.10041,0.493728,0.3317
31,"Archaeo_fu",0.0485054,0.0565,3.10041,0.812196,0.8023
32,,"1e-06","1e-06",3.10041,0.493728,1
33,"Thermop_ac",0.210744,0.2092,3.10041,0.493728,0.4491
34,,0.00280484,0.002602,3.10041,0.493728,0
35,"Methano_va",0.0430634,0.0639,3.10041,0.171018,0.1783
36,"Methano_ja",0.014518,0.016,3.10041,0.741384,0.7963
37,,0.0310739,0.031238,3.10041,0.741384,0.6875
38,,0.0032131,0.003441,3.10041,0.493728,0
39,"Methano_th",0.0883239,0.0851,3.10041,0.493728,0.4221
40,,0.0402441,0.037188,3.10041,0.493728,0.6665
41,,0.0102429,0.008326,3.10041,0.716118,1
42,,0.0581213,0.072214,3.10041,0.716118,0.8982
43,"Thermot_ma",0.0674028,0.0775,3.10041,0.399365,0.7534
44,"Deinoco_ra",0.0928714,0.0983,3.10041,0.399365,0.4829
45,"Thermus_th",0.011803,0.0233,3.10041,1,1
46,,0.0480374,0.053692,3.10041,0.399365,0.6085
47,"Chlamyd_tr","1e-06",0,3.10041,0.498261,1
48,"Chlamyd_mu","1e-06",0,3.10041,0.498261,1
49,,0.121457,0.117785,3.10041,0.498261,0.4992
50,"Plancto_br",0.0588836,0.0588,3.10041,0.498261,0.6777
51,"Pirellu_ma",0.0652558,0.0648,3.10041,0.498261,0.527
52,"Gemmata_ob",0.104569,0.105,3.10041,0.498261,0.6839
53,,0.024592,0.025263,3.10041,0.498261,0.4919
54,,0.118831,0.115488,3.10041,0.498261,0.5691
55,,0.0123815,0.014036,3.10041,0.498261,0
56,"Escheri_co",0.0159137,0.0093,3.10041,0.498261,0
57,"Buchner_ap",0.0495465,0.0548,3.10041,0.498261,0.3019
58,,0.00838607,0.007696,3.10041,0.498261,0.1397
59,"Pasteur_mu",0.044033,0.0375,3.10041,0.498261,0.4953
60,,"1e-06",0.00871,3.10041,0.498261,1
61,"Vibrio_ch",0.0368366,0.0349,3.10041,0.498261,0.5836
62,,0.0126541,0.010448,3.10041,0.498261,0.6432
63,"Pseudom_ae",0.0453871,0.0478,3.10041,0.498261,0.5744
64,,0.0209116,0.020541,3.10041,0.498261,0.7547
65,"Xylella_fa",0.0434909,0.044,3.10041,0.498261,0.4771
66,,0.0337218,0.02902,3.10041,0.498261,0.2755
67,"Rickett_pr",0.0789136,0.0806,3.10041,0.498261,0.3906
68,,0.019737,0.023959,3.10041,0.498261,0.8324
69,"Helicob_py",0.0447817,0.0429,3.10041,0.498261,0.4361
70,"Campylo_je",0.069692,0.0703,3.10041,0.498261,0.4248
71,,0.03659,0.034105,3.10041,0.498261,0.5877
72,,0.0145965,0.014312,3.10041,0.498261,0.1946
73,"Flavoba_od",0.063098,0.064,3.10041,0.498261,0.4631
74,"Bactero_fr",0.0715952,0.0693,3.10041,0.498261,0.5306
75,,0.0992071,0.099199,3.10041,0.498261,0.5051
76,"Chlorob_li",0.0911072,0.0935,3.10041,0.498261,0.4657
77,,0.026727,0.018687,3.10041,0.498261,0.438
78,,0.0268809,0.030919,3.10041,0.498261,0.1276
79,,"1e-06","1e-06",3.10041,0.498261,0
80,"Borreli_bu",0.0648927,0.0671,3.10041,0.399365,0.2506
81,"Trepone_pa",0.066834,0.0707,3.10041,0.696014,0.6795
82,,0.0395081,0.042514,3.10041,0.399365,0.3684
83,,0.0114958,0.008196,3.10041,0.399365,1
84,"Ureapla_ur",0.0341488,0.0368,3.10041,0.399365,0.4031
85,"Mycopla_ge",0.0588544,0.0593,3.10041,0.399365,0.243
86,,0.130163,0.134459,3.10041,0.399365,0.331
87,,0.0061928,0.009347,3.10041,0.399365,0
88,"Synecho_sp",0.137164,0.138,3.10041,0.450297,0.4548
89,,0.0349914,0.033474,3.10041,0.399365,0.3101
90,"Leucono_me",0.029223,0.0298,3.10041,0.399365,0.3925
91,"Lactoco_la",0.0542174,0.0557,3.10041,0.399365,0.461
92,,0.039299,0.041194,3.10041,0.399365,0.2375
93,"Staphyl_au",0.0260766,0.0267,3.10041,0.399365,0.1213
94,,0.0138911,0.01385,3.10041,0.399365,0.2646
95,"Bacillu_su",0.0218125,0.0241,3.10041,0.77594,0.7579
96,,0.00557391,0.00564,3.10041,0.399365,0
97,"Clostri_bo",0.0918361,0.097,3.10041,0.399365,0.3502
98,,0.021995,0.021533,3.10041,0.399365,0.437
99,"Thermoa_te",0.0524813,0.0518,3.10041,0.646665,0.6545
100,,0.016248,0.018946,3.10041,0.399365,0.4104
101,,0.00500836,0.005046,3.10041,0.399365,0
102,"Mycobac_le",0.0391031,0.0415,3.10041,0.399365,0.4752
103,"Strepto_co",0.0369305,0.0383,3.10041,0.726251,0.707
104,,0.0706667,0.076813,3.10041,0.399365,0.5684
105,,0.0304759,0.027963,3.10041,0.399365,0.3084
106,,0.0319817,0.034128,3.10041,0.399365,0.4417
107,,0.0277808,0.029641,3.10041,0.399365,0.6908
108,"Aquifex_ae",0.0727999,0.0835,3.10041,0.716118,0.8943
109,,0.178458,0.177853,3.10041,0.716118,0.7152
110,,1.31216,0.302206,3.10041,0.716118,0.9816
111,"Plasmod_fa",0.0963333,0.1442,3.10041,0.265418,0.3247
112,"Toxopla_go",0.0252681,0.1099,3.10041,0.472851,0.3488
113,,0.0096825,0.001762,3.10041,0.472851,0
114,"Euplote_ae",0.0936745,0.109,3.10041,0.472851,0.2727
115,"Tetrahy_th",0.00454127,0.0234,3.10041,0.472851,0.6703
116,"Tetrahy_py","1e-06",0.008796,3.10041,0.472851,1
117,,0.086236,0.0915,3.10041,0.472851,0.3775
118,,0.0133593,0.0045,3.10041,0.472851,0.45
119,,0.0137555,0,3.10041,0.472851,0
120,"Scytosi_lo",0.0356491,0.086604,3.10041,0.472851,0.3877
121,"Phytoph_me",0.0347705,0.013497,3.10041,0.472851,0.4488
122,,0.024905,0.011481,3.10041,0.472851,0.1619
123,,0.00454818,0.0339,3.10041,0.472851,0.6861
124,"Oryza_sa",0.00268998,0.0362,3.10041,1,0.6665
125,"Acorus_gr",0.00452902,0.026487,3.10041,0.501223,0.3023
126,,"1e-06",0.002632,3.10041,0.499545,1
127,"Arabido_th",0.00176669,0.0067,3.10041,"1e-12",1
128,,0.014227,0.0045,3.10041,0.706627,0.5014
129,"Andreae_ni","1e-06","1e-06",3.10041,0.472851,0
130,"Hylocom_sp",0.00225421,0.0045,3.10041,0.472851,0
131,,0.00250016,0.015656,3.10041,0.472851,0.7076
132,,0.00523507,0,3.10041,0.472851,0
133,"Chlorel_el",0.0256287,0.0022,3.10041,0.472851,1
134,,0.018062,0.002425,3.10041,0.472851,0
135,,0.00521972,0.006006,3.10041,0.472851,1
136,"Sacchar_ce",0.00104699,0.0239,3.10041,"1e-12",0.4722
137,"Candida_al",0.0134732,0.018004,3.10041,0.469941,0.881
138,,0.00795155,0.006133,3.10041,0.370126,0
139,"Schizos_po",0.0175252,0.0026,3.10041,0.489908,0
140,,0.0127047,0.0133,3.10041,0.356161,0.4698
141,"Cryptoc_ne",0.0461243,0.008014,3.10041,0.472851,0.3837
142,,0.0220085,0.0174,3.10041,0.472851,0.4969
143,,0.00780001,0.009305,3.10041,"1e-12",0.4991
144,"Drosoph_me",0.0659548,0.0492,3.10041,0.243313,0.6024
145,"Caenorh_el",0.0982167,0.02218,3.10041,0.592609,0.5771
146,,0.0157987,0.016442,3.10041,0.592609,0
147,"Girardi_ti",0.0583354,0.0799,3.10041,0.373814,0.2382
148,,0.00477164,0.1012,3.10041,0.373814,0.5675
149,"Branchi_fl",0.0608311,0.011569,3.10041,0.807212,1
150,"Homo_sa",0.0226745,0.0613,3.10041,0.807212,0.4143
151,"Latimer_ch",0.00493645,0.006045,3.10041,0.807212,0
152,,0.00209475,0.076,3.10041,0.807212,0.8141
153,"Squalus_ac",0.00259509,0.0284,3.10041,0.807212,0.8611
154,,0.0383448,0.0068,3.10041,0.807212,1
155,,"1e-06",0.00288,3.10041,0.807212,1
156,"Ciona_in",0.0192929,0.0027,3.10041,0.807212,1
157,,0.00585313,0.046803,3.10041,0.807212,0.6898
158,,0.0901585,0.000382,3.10041,0.373814,1
159,,0.0293116,0.0242,3.10041,0.373814,0.7285
160,"Guillar_th",0.0264324,0.007637,3.10041,0.373814,1
161,,0.0143897,0.098791,3.10041,0.373814,0.5148
162,"Gelidiu_ca","1e-06",0.036475,3.10041,0.373814,0.0787
163,"Onikusa_pr","1e-06",0.0197,3.10041,0.373814,0.1935
164,,0.0106772,0.023984,3.10041,0.373814,0
165,"Gracila_ve",0.0112944,0,3.10041,0.373814,1
166,,0.0670849,0,3.10041,0.373814,1
167,,0.0245645,0.009973,3.10041,0.373814,0
168,"Giardia_in",0.0429764,0.0123,3.10041,0.90811,0.1002
169,"Giardia_ar",0.0669028,0.069266,3.10041,0.656654,0.4667
170,,0.272051,0.025279,3.10041,0.90811,0.236
171,,0.0210466,0.0586,3.10041,0.90811,0.9862
172,"Trypano_cr","1e-06",0.0684,3.10041,0.378426,0.7149
173,"Trypano_br",0.00876249,0.416667,3.10041,0.378426,0.8692
174,,0.132618,0.03264,3.10041,0.378426,0.8656
175,"Euglena_gr",0.145929,0.0048,3.10041,0.610885,1
176,,0.0885598,0.0044,3.10041,0.610885,1
177,,0.0305753,0.141744,3.10041,0.90811,0.3482
178,"Entamoe_hi",0.111632,0.1412,3.10041,0.716118,0.6301
179,"Dictyos_di",0.0923802,0.085485,3.10041,0.716118,0.451
180,,"1e-06",0.03734,3.10041,0.716118,1
181,,"1.31213e-12",1.29415,3.10041,0.716118,0.5604
182,,,,,,
