NodeId	T92.kappa	T92.theta
1	3.11741	0.597043
2	3.11741	0.597043
3	3.11741	0.597043
4	3.11741	0.597043
5	3.11741	0.597043
178	3.11741	0.356516
179	3.11741	0.356516
180	3.11741	0.356516
181	3.11741	0.356516
111	3.11741	0.397075
112	3.11741	0.397075
113	3.11741	0.397075
114	3.11741	0.397075
115	3.11741	0.397075
116	3.11741	0.397075
117	3.11741	0.397075
118	3.11741	0.397075
119	3.11741	0.397075
120	3.11741	0.397075
121	3.11741	0.397075
122	3.11741	0.397075
123	3.11741	0.397075
124	3.11741	0.397075
125	3.11741	0.397075
126	3.11741	0.397075
127	3.11741	0.397075
128	3.11741	0.397075
129	3.11741	0.397075
130	3.11741	0.397075
131	3.11741	0.397075
132	3.11741	0.397075
133	3.11741	0.397075
134	3.11741	0.397075
135	3.11741	0.397075
136	3.11741	0.397075
137	3.11741	0.397075
138	3.11741	0.397075
139	3.11741	0.397075
140	3.11741	0.397075
141	3.11741	0.397075
142	3.11741	0.397075
143	3.11741	0.397075
144	3.11741	0.397075
145	3.11741	0.397075
146	3.11741	0.397075
147	3.11741	0.397075
148	3.11741	0.397075
158	3.11741	0.397075
159	3.11741	0.397075
160	3.11741	0.397075
161	3.11741	0.397075
162	3.11741	0.397075
163	3.11741	0.397075
164	3.11741	0.397075
165	3.11741	0.397075
166	3.11741	0.397075
167	3.11741	0.397075
149	3.11741	0.804243
150	3.11741	0.804243
151	3.11741	0.804243
152	3.11741	0.804243
153	3.11741	0.804243
154	3.11741	0.804243
155	3.11741	0.804243
156	3.11741	0.804243
157	3.11741	0.804243
47	3.11741	0.55819
48	3.11741	0.55819
49	3.11741	0.55819
50	3.11741	0.55819
51	3.11741	0.55819
52	3.11741	0.55819
53	3.11741	0.55819
54	3.11741	0.55819
55	3.11741	0.55819
56	3.11741	0.464373
57	3.11741	0.464373
58	3.11741	0.464373
59	3.11741	0.464373
60	3.11741	0.464373
61	3.11741	0.464373
62	3.11741	0.464373
63	3.11741	0.464373
64	3.11741	0.464373
65	3.11741	0.464373
66	3.11741	0.464373
67	3.11741	0.464373
68	3.11741	0.464373
69	3.11741	0.464373
70	3.11741	0.464373
71	3.11741	0.464373
72	3.11741	0.464373
81	3.11741	0.691416
168	3.11741	0.902901
170	3.11741	0.902901
171	3.11741	0.902901
177	3.11741	0.902901
169	3.11741	0.659147
22	3.11741	0.530583
23	3.11741	0.530583
24	3.11741	0.530583
25	3.11741	0.530583
26	3.11741	0.530583
27	3.11741	0.530583
28	3.11741	0.530583
29	3.11741	0.530583
30	3.11741	0.530583
31	3.11741	0.530583
32	3.11741	0.530583
33	3.11741	0.530583
34	3.11741	0.530583
36	3.11741	0.530583
37	3.11741	0.530583
38	3.11741	0.530583
39	3.11741	0.530583
40	3.11741	0.530583
35	3.11741	0.17098
43	3.11741	0.433027
44	3.11741	0.433027
46	3.11741	0.433027
73	3.11741	0.433027
74	3.11741	0.433027
75	3.11741	0.433027
76	3.11741	0.433027
77	3.11741	0.433027
78	3.11741	0.433027
79	3.11741	0.433027
80	3.11741	0.433027
82	3.11741	0.433027
83	3.11741	0.433027
84	3.11741	0.433027
85	3.11741	0.433027
86	3.11741	0.433027
87	3.11741	0.433027
88	3.11741	0.433027
89	3.11741	0.433027
90	3.11741	0.433027
91	3.11741	0.433027
92	3.11741	0.433027
93	3.11741	0.433027
94	3.11741	0.433027
95	3.11741	0.433027
96	3.11741	0.433027
97	3.11741	0.433027
98	3.11741	0.433027
99	3.11741	0.433027
100	3.11741	0.433027
101	3.11741	0.433027
102	3.11741	0.433027
103	3.11741	0.433027
104	3.11741	0.433027
105	3.11741	0.433027
106	3.11741	0.433027
107	3.11741	0.433027
45	3.11741	0.999999
172	3.11741	0.360701
173	3.11741	0.360701
174	3.11741	0.360701
175	3.11741	0.589275
176	3.11741	0.589275
0	3.11741	0.748836
6	3.11741	0.748836
7	3.11741	0.748836
8	3.11741	0.748836
9	3.11741	0.748836
10	3.11741	0.748836
11	3.11741	0.748836
12	3.11741	0.748836
13	3.11741	0.748836
14	3.11741	0.748836
15	3.11741	0.748836
16	3.11741	0.748836
17	3.11741	0.748836
19	3.11741	0.748836
20	3.11741	0.748836
21	3.11741	0.748836
41	3.11741	0.748836
42	3.11741	0.748836
108	3.11741	0.748836
109	3.11741	0.748836
110	3.11741	0.748836
18	3.11741	1e-06
