"Id","Name","BrLen1","BrLen2","T92.kappa","T92.theta","NHML"
0,"Desulfu_mo",0.0318964,0.034,3.10308,0.706642,0.7425
1,"Sulfolo_so",0.0306696,0.0302,3.10308,0.597938,0.4356
2,"Sulfolo_ac",0.00318445,0.0021,3.10308,0.597938,0
3,,0.0113835,0.008221,3.10308,0.597938,0
4,"Acidian_in",0.0455843,0.0472,3.10308,0.597938,0.6701
5,,0.0514798,0.050913,3.10308,0.597938,0.7192
6,,0.0237616,0.023438,3.10308,0.706642,0.7577
7,"Aeropyr_pe",0.034746,0.0382,3.10308,0.706642,0.8473
8,,0.0241372,0.025218,3.10308,0.706642,0.8609
9,"Thermof_pe",0.0782242,0.076,3.10308,0.706642,0.6244
10,,0.0368977,0.038204,3.10308,0.706642,0.7833
11,"Nanoarc_eq",0.169326,0.1745,3.10308,0.706642,0.7836
12,,0.0123169,0.019512,3.10308,0.706642,1
13,"Pyrococ_fu",0.0141003,0.0148,3.10308,0.706642,0.7926
14,"Pyrococ_ho","1e-06",0,3.10308,0.706642,1
15,"Pyrococ_ab","1e-06",0,3.10308,0.706642,1
16,,"1e-06","1e-06",3.10308,0.706642,1
17,,0.00432776,0.004968,3.10308,0.706642,1
18,"Thermoc_ce",0.011986,0.0104,3.10308,0.706642,0
19,,0.0436162,0.04574,3.10308,0.706642,0.7625
20,"Methano_ka",0.0662437,0.0709,3.10308,0.706642,0.8304
21,,"1e-06",0.003909,3.10308,0.706642,0
22,"Methano_ma",0.0537306,0.05,3.10308,0.530148,0.431
23,"Methano_ac",0.0624648,0.0634,3.10308,0.530148,0.6204
24,,0.0400417,0.038319,3.10308,0.530148,0.4029
25,"Halofer_me",0.0113237,0.0098,3.10308,0.530148,0.306
26,"Natrono_ma",0.0532698,0.0523,3.10308,0.530148,0.569
27,"Haloarc_ma",0.0281915,0.0267,3.10308,0.530148,0.5615
28,,0.0105789,0.012628,3.10308,0.530148,1
29,,0.132879,0.130594,3.10308,0.530148,0.5814
30,,0.0326746,0.029385,3.10308,0.530148,0.3317
31,"Archaeo_fu",0.0516495,0.0565,3.10308,0.530148,0.8023
32,,"1e-06","1e-06",3.10308,0.530148,1
33,"Thermop_ac",0.217986,0.2092,3.10308,0.530148,0.4491
34,,0.00277444,0.002602,3.10308,0.530148,0
35,"Methano_va",0.0434585,0.0639,3.10308,0.170823,0.1783
36,"Methano_ja",0.0144078,0.016,3.10308,0.530148,0.7963
37,,0.0313474,0.031238,3.10308,0.530148,0.6875
38,,0.00239142,0.003441,3.10308,0.530148,0
39,"Methano_th",0.0899267,0.0851,3.10308,0.530148,0.4221
40,,0.0410963,0.037188,3.10308,0.530148,0.6665
41,,0.00937596,0.008326,3.10308,0.706642,1
42,,0.0572065,0.072214,3.10308,0.706642,0.8982
43,"Thermot_ma",0.0699936,0.0775,3.10308,0.426474,0.7534
44,"Deinoco_ra",0.0950955,0.0983,3.10308,0.426474,0.4829
45,"Thermus_th",0.0115853,0.0233,3.10308,1,1
46,,0.0505066,0.053692,3.10308,0.426474,0.6085
47,"Chlamyd_tr","1e-06",0,3.10308,0.497186,1
48,"Chlamyd_mu","1e-06",0,3.10308,0.497186,1
49,,0.121386,0.117785,3.10308,0.497186,0.4992
50,"Plancto_br",0.0586998,0.0588,3.10308,0.497186,0.6777
51,"Pirellu_ma",0.0653188,0.0648,3.10308,0.497186,0.527
52,"Gemmata_ob",0.104384,0.105,3.10308,0.497186,0.6839
53,,0.0246609,0.025263,3.10308,0.497186,0.4919
54,,0.118649,0.115488,3.10308,0.497186,0.5691
55,,0.0121541,0.014036,3.10308,0.497186,0
56,"Escheri_co",0.0159086,0.0093,3.10308,0.497186,0
57,"Buchner_ap",0.0495243,0.0548,3.10308,0.497186,0.3019
58,,0.00836341,0.007696,3.10308,0.497186,0.1397
59,"Pasteur_mu",0.0440192,0.0375,3.10308,0.497186,0.4953
60,,"1e-06",0.00871,3.10308,0.497186,1
61,"Vibrio_ch",0.0368343,0.0349,3.10308,0.497186,0.5836
62,,0.0125929,0.010448,3.10308,0.497186,0.6432
63,"Pseudom_ae",0.0454244,0.0478,3.10308,0.497186,0.5744
64,,0.0209393,0.020541,3.10308,0.497186,0.7547
65,"Xylella_fa",0.0434778,0.044,3.10308,0.497186,0.4771
66,,0.0337233,0.02902,3.10308,0.497186,0.2755
67,"Rickett_pr",0.0788905,0.0806,3.10308,0.497186,0.3906
