NodeId	T92.kappa	T92.theta
178	3.17111	0.482041
179	3.17111	0.482041
180	3.17111	0.482041
181	3.17111	0.482041
0	3.17111	0.788595
6	3.17111	0.788595
7	3.17111	0.788595
8	3.17111	0.788595
9	3.17111	0.788595
10	3.17111	0.788595
11	3.17111	0.788595
12	3.17111	0.788595
13	3.17111	0.788595
14	3.17111	0.788595
15	3.17111	0.788595
16	3.17111	0.788595
17	3.17111	0.788595
18	3.17111	0.788595
19	3.17111	0.788595
20	3.17111	0.788595
21	3.17111	0.788595
41	3.17111	0.788595
42	3.17111	0.788595
108	3.17111	0.788595
109	3.17111	0.788595
110	3.17111	0.788595
1	3.17111	0.603028
2	3.17111	0.603028
3	3.17111	0.603028
4	3.17111	0.603028
5	3.17111	0.603028
81	3.17111	0.695428
47	3.17111	0.562275
48	3.17111	0.562275
49	3.17111	0.562275
50	3.17111	0.562275
51	3.17111	0.562275
52	3.17111	0.562275
53	3.17111	0.562275
54	3.17111	0.562275
55	3.17111	0.562275
56	3.17111	0.465202
57	3.17111	0.465202
58	3.17111	0.465202
59	3.17111	0.465202
60	3.17111	0.465202
61	3.17111	0.465202
62	3.17111	0.465202
63	3.17111	0.465202
64	3.17111	0.465202
65	3.17111	0.465202
66	3.17111	0.465202
67	3.17111	0.465202
68	3.17111	0.465202
69	3.17111	0.465202
70	3.17111	0.465202
71	3.17111	0.465202
72	3.17111	0.465202
73	3.17111	0.465202
74	3.17111	0.465202
75	3.17111	0.465202
76	3.17111	0.465202
77	3.17111	0.465202
78	3.17111	0.465202
22	3.17111	0.538005
23	3.17111	0.538005
24	3.17111	0.538005
25	3.17111	0.538005
26	3.17111	0.538005
27	3.17111	0.538005
28	3.17111	0.538005
29	3.17111	0.538005
30	3.17111	0.538005
31	3.17111	0.538005
32	3.17111	0.538005
33	3.17111	0.538005
34	3.17111	0.538005
36	3.17111	0.538005
37	3.17111	0.538005
38	3.17111	0.538005
39	3.17111	0.538005
40	3.17111	0.538005
35	3.17111	0.174687
44	3.17111	0.461981
43	3.17111	0.420827
79	3.17111	0.420827
80	3.17111	0.420827
82	3.17111	0.420827
83	3.17111	0.420827
84	3.17111	0.420827
85	3.17111	0.420827
86	3.17111	0.420827
87	3.17111	0.420827
88	3.17111	0.420827
89	3.17111	0.420827
90	3.17111	0.420827
91	3.17111	0.420827
92	3.17111	0.420827
93	3.17111	0.420827
94	3.17111	0.420827
95	3.17111	0.420827
96	3.17111	0.420827
97	3.17111	0.420827
98	3.17111	0.420827
99	3.17111	0.420827
100	3.17111	0.420827
101	3.17111	0.420827
102	3.17111	0.420827
103	3.17111	0.420827
104	3.17111	0.420827
105	3.17111	0.420827
106	3.17111	0.420827
107	3.17111	0.420827
45	3.17111	0.732221
46	3.17111	0.732221
150	3.17111	0.79497
151	3.17111	0.79497
152	3.17111	0.79497
153	3.17111	0.79497
154	3.17111	0.79497
111	3.17111	0.405914
112	3.17111	0.405914
113	3.17111	0.405914
114	3.17111	0.405914
115	3.17111	0.405914
116	3.17111	0.405914
117	3.17111	0.405914
118	3.17111	0.405914
119	3.17111	0.405914
120	3.17111	0.405914
121	3.17111	0.405914
122	3.17111	0.405914
123	3.17111	0.405914
124	3.17111	0.405914
125	3.17111	0.405914
126	3.17111	0.405914
127	3.17111	0.405914
128	3.17111	0.405914
129	3.17111	0.405914
130	3.17111	0.405914
131	3.17111	0.405914
132	3.17111	0.405914
133	3.17111	0.405914
134	3.17111	0.405914
135	3.17111	0.405914
136	3.17111	0.405914
137	3.17111	0.405914
138	3.17111	0.405914
139	3.17111	0.405914
140	3.17111	0.405914
141	3.17111	0.405914
142	3.17111	0.405914
143	3.17111	0.405914
144	3.17111	0.405914
145	3.17111	0.405914
146	3.17111	0.405914
147	3.17111	0.405914
148	3.17111	0.405914
155	3.17111	0.405914
156	3.17111	0.405914
157	3.17111	0.405914
158	3.17111	0.405914
159	3.17111	0.405914
160	3.17111	0.405914
161	3.17111	0.405914
162	3.17111	0.405914
163	3.17111	0.405914
164	3.17111	0.405914
165	3.17111	0.405914
166	3.17111	0.405914
167	3.17111	0.405914
149	3.17111	0.813903
168	3.17111	0.905059
170	3.17111	0.905059
171	3.17111	0.905059
177	3.17111	0.905059
169	3.17111	0.661963
175	3.17111	0.598851
176	3.17111	0.598851
172	3.17111	0.369498
173	3.17111	0.369498
174	3.17111	0.369498
