Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-14122.1	184	28612.2	28811.3	29397.4
1	1	-14117.5	186	28607	28811.6	29400.7
0	4	-14104.7	189	28587.4	28800.5	29393.9
0.0016244	5	-14102.4	190	28584.9	28800.9	29395.7
0.026706	6	-14102.2	191	28586.3	28805.3	29401.4
0.0490158	7	-14100.5	192	28585	28806.9	29404.3
0.110345	8	-14100.4	193	28586.9	28811.7	29410.4
0.152544	9	-14097.1	194	28582.2	28810.1	29410.1
0.322706	10	-14096.9	195	28583.8	28814.7	29415.9
0.378633	11	-14081	196	28554	28788	29390.4
0.443768	12	-14080.3	197	28554.5	28791.6	29395.2
0.454499	13	-14079.1	198	28554.1	28794.4	29399.1
0.53829	14	-14079	199	28556	28799.4	29405.1
0.57269	15	-14078.1	200	28556.3	28802.9	29409.7
0.594455	16	-14075.9	201	28553.8	28803.7	29411.6
0.623906	17	-14073.7	202	28551.4	28804.6	29413.4
0.694876	18	-14073.4	203	28552.9	28809.3	29419.1
0.727701	19	-14069.1	204	28546.3	28806	29416.8
0.743744	20	-14068.9	205	28547.9	28811	29422.7
0.775373	21	-14049.8	206	28511.7	28778.2	29390.7
0.79615	22	-14041	207	28496.1	28766	29379.4
0.797295	23	-14040.8	208	28497.7	28771.1	29385.3
0.814266	24	-14040.1	209	28498.3	28775.2	29390.1
0.849226	25	-14040.1	210	28500.2	28780.6	29396.3
0.865335	26	-14039.8	211	28501.7	28785.7	29402
0.868566	27	-14037.9	212	28499.7	28787.4	29404.4
0.880335	28	-14037.7	213	28501.3	28792.6	29410.3
0.894306	29	-14035.5	214	28499	28793.9	29412.2
0.897213	30	-14026.7	215	28483.4	28782	29400.8
0.902232	31	-14026.6	216	28485.2	28787.6	29406.9
0.90308	32	-14023.6	217	28481.2	28787.4	29407.2
0.903809	33	-14020.1	218	28476.1	28786.2	29406.4
0.912401	34	-14020.1	219	28478.1	28792	29412.7
0.920698	35	-14020.1	220	28480.1	28797.9	29418.9
0.921532	36	-14018	221	28478.1	28799.8	29421.1
0.92364	37	-14018	222	28480	28805.7	29427.4
0.927403	38	-14018	223	28481.9	28811.7	29433.5
0.936342	39	-14017.9	224	28483.8	28817.6	29439.7
0.937371	40	-14017.9	225	28485.8	28823.7	29445.9
0.938696	41	-14017.8	226	28487.7	28829.7	29452
0.942917	42	-14007.8	227	28469.5	28815.7	29438.2
0.944032	43	-14004.6	228	28465.1	28815.6	29438.1
0.945192	44	-14004.6	229	28467.1	28821.8	29444.3
0.946183	45	-14004.1	230	28468.1	28827.1	29449.6
0.951202	46	-14002.7	231	28467.3	28830.7	29453.1
0.951531	47	-14001.1	232	28466.3	28834	29456.3
0.962189	48	-13991.2	233	28448.3	28820.5	29442.6
0.962612	49	-13991.2	234	28450.3	28827	29448.8
0.96596	50	-13991.1	235	28452.3	28833.5	29455.1
0.966683	51	-13991.1	236	28454.3	28840	29461.4
0.966837	52	-13991.1	237	28456.3	28846.7	29467.6
0.971108	53	-13989.4	238	28454.7	28849.7	29470.3
0.972565	54	-13987.4	239	28452.7	28852.4	29472.6
0.975166	55	-13987.4	240	28454.7	28859.2	29478.8
0.976301	56	-13986.8	241	28455.6	28864.9	29484
0.977124	57	-13982.1	242	28448.2	28862.3	29480.8
0.977446	58	-13980.3	243	28446.6	28865.6	29483.5
0.978336	59	-13980.2	244	28448.5	28872.4	29489.7
0.979244	60	-13977.4	245	28444.8	28873.8	29490.3
0.98016	61	-13976.9	246	28445.9	28879.9	29495.6
0.982546	62	-13976.5	247	28447	28886.2	29501
0.983576	63	-13976.3	248	28448.7	28892.9	29506.9
0.9851	64	-13973.9	249	28445.8	28895.2	29508.3
0.985107	65	-13971.9	250	28443.8	28898.5	29510.6
0.986007	66	-13971.1	251	28444.2	28904.2	29515.3
0.986281	67	-13971.1	252	28446.2	28911.6	29521.6
0.989678	68	-13969.3	253	28444.7	28915.5	29524.3
0.990485	69	-13964.5	254	28437.1	28913.3	29520.9
0.990936	70	-13962.1	255	28434.1	28915.9	29522.3
0.993459	71	-13961.9	256	28435.8	28923.2	29528.2
0.994095	72	-13958.4	257	28430.8	28923.8	29527.5
1	73	-13956	258	28428	28926.7	29528.9
1	182	-13820.9	367	28375.7	30074.5	29941.8
