Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-14122.1	184	28612.2	28811.3	29397.4
1	1	-14117.5	186	28607	28811.6	29400.7
0	3	-14084.4	188	28544.8	28755.1	29347.1
2e-07	4	-14057.6	189	28493.3	28706.4	29299.8
1.2206e-05	6	-14040.6	191	28463.2	28682.2	29278.2
5.52e-05	8	-13987.3	193	28360.7	28585.6	29184.2
0.0003858	11	-13980.2	196	28352.4	28586.4	29188.8
0.0007998	12	-13974.6	197	28343.1	28580.3	29183.8
0.00080764	14	-13969.6	199	28337.1	28580.6	29186.3
0.00116337	15	-13960.9	200	28321.9	28568.5	29175.3
0.00152716	16	-13950.6	201	28303.3	28553.1	29161
0.004644	17	-13946.9	202	28297.7	28550.8	29159.7
0.007124	18	-13943.6	203	28293.1	28549.6	29159.4
0.00776394	19	-13941.4	204	28290.9	28550.6	29161.4
0.0121516	21	-13935.5	206	28283	28549.5	29162
0.0215334	22	-13932.5	207	28279.1	28549	29162.4
