Id	Name	Branch length
0	Mantidactylus_grandidieri	0.578859
1	Mantidactylus_cf.	1.23836
2		0.177526
3	Gephyromantis_pseudoasper	0.784325
4	Gephyromantis_klemmeri	0.921131
5		0.530223
6		0.100416
7	Boehmantis_microtympanum	0.902325
8		0.161217
9	Spinomantis_microtis	0.818295
10		0.128032
11	Mantella_bernhardi	0.437957
12	Mantella_baroni	0.421926
13	Mantella_madagascariensis	0.39247
14		0.145787
15		0.164235
16	Wakea_madinika	1.16485
17		0.29803
18	Blommersia_blommersae	0.920005
19	Guibemantis_liber	0.570791
20	Guibemantis_tornieri	0.507081
21		0.408637
22		0.284363
23		0.376874
24	Tsingymantis_antitra	0.905819
25	Laliostoma_labrosum	1.10548
26	Aglyptodactylus_madagascariensis	0.937976
27		0.324554
28	Boophis_madagascariensis	1.75074
29		0.160776
30		0.483463
31		
