NodeId	YN98.kappa	YN98.omega	YN98.1_Full.theta	YN98.1_Full.theta1	YN98.1_Full.theta2	YN98.2_Full.theta	YN98.2_Full.theta1	YN98.2_Full.theta2	YN98.3_Full.theta	YN98.3_Full.theta1	YN98.3_Full.theta2
0	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
2	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
3	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
4	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
5	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
6	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
7	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
8	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
9	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
10	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
23	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
30	3.1948	0.070853	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
1	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
11	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
12	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
13	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
14	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
15	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
16	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
17	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
18	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
19	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
20	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
21	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
22	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
24	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
25	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
26	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
27	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
28	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
29	3.1948	0.0423474	0.459638	0.569686	0.479348	0.404291	0.316323	0.279422	0.35275	0.539301	0.125542
