Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-45437.4	42	90958.8	91184.8
0	2	-45388.4	43	90862.9	91094.3
8.22e-05	3	-45388.3	44	90864.5	91101.3
0.025283	4	-45381.5	45	90853	91095.2
0.102182	5	-45381.1	46	90854.2	91101.8
0.293339	6	-45380	47	90853.9	91106.8
0.445083	7	-45374.9	48	90845.7	91104
0.48341	8	-45374.9	49	90847.7	91111.4
0.650594	9	-45368.2	50	90836.4	91105.5
0.666356	10	-45368	51	90838	91112.4
0.722379	11	-45364.6	52	90833.2	91113.1
0.810857	12	-45364.5	53	90835.1	91120.3
0.820996	13	-45364.5	54	90837	91127.7
0.822785	14	-45364.4	55	90838.7	91134.7
0.901603	15	-45364.1	56	90840.2	91141.5
0.914007	16	-45363.7	57	90841.4	91148.1
0.91925	17	-45363.4	58	90842.9	91155
0.926865	18	-45362.8	59	90843.6	91161.1
0.933081	19	-45362.8	60	90845.6	91168.5
0.940296	20	-45362.5	61	90847	91175.3
0.949241	21	-45362	62	90848	91181.7
