Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-45782.7	42	91649.4	91875.4
1.4e-07	2	-45748.5	43	91582.9	91585.3	91814.3
4.8e-05	3	-45747.8	44	91583.6	91586.1	91820.4
0.017352	4	-45747.7	45	91585.5	91588	91827.7
0.110453	5	-45747.7	46	91587.4	91590.1	91834.9
0.429155	6	-45741.2	47	91576.4	91579.2	91829.4
0.429874	7	-45739.6	48	91575.2	91578.1	91833.5
0.525136	8	-45737	49	91572	91575	91835.7
0.680967	9	-45737	50	91573.9	91577.1	91843
0.769461	10	-45732.8	51	91567.5	91570.8	91842
0.784712	11	-45724.7	52	91553.4	91556.8	91833.2
0.787852	12	-45723.5	53	91553	91556.5	91838.2
