Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-45437.4	42	90958.8	91184.8
0	2	-45425.8	43	90937.6	91169
0.000552	5	-45388.1	46	90868.2	91115.7
0.0065698	7	-45381	48	90858	91116.3
0.12166	9	-45376.9	50	90853.7	91122.8
0.211854	11	-45371.9	52	90847.7	91127.6
0.225042	12	-45370	53	90846	91131.2
0.245656	13	-45369.8	54	90847.6	91138.2
0.444636	14	-45369.7	55	90849.4	91145.4
0.473002	16	-45369.1	57	90852.1	91158.9
0.54448	19	-45365.9	60	90851.9	91174.8
0.646383	21	-45362.2	62	90848.4	91182
0.68854	22	-45360.9	63	90847.9	91186.9
