Id,Name,Branch length
0,Sciurus_vulgaris,321
1,Myoxus_glis,284
2,,137
3,Rattus_norvegicus,219
4,Mus_musculus,245
5,,184
6,Cricetulus_griseus,316
7,Microtus_kikuchii,158
8,Microtus_rossiaemeridionalis,147
9,,225
10,,165
11,,217
12,Nannospalax_ehrenbergi,306
13,,173
14,Jaculus_jaculus,248
15,,155
16,Anomalurus_sp.,233
17,,65
18,Thryonomys_swinderianus,277
19,Cavia_porcellus,329
20,,240
21,,49
22,,63
23,Ochotona_princeps,310
24,Lepus_europaeus,108
25,Oryctolagus_cuniculus,122
26,,233
27,,166
28,,64
29,Presbytis_melalophos,198
30,Trachypithecus_obscurus,164
31,Semnopithecus_entellus,233
32,,25
33,,20
34,Nasalis_larvatus,144
35,Pygathrix_nemaeus,183
36,,56
37,,51
38,Procolobus_badius,190
39,Colobus_guereza,205
40,,71
41,,129
42,Chlorocebus_aethiops,373
43,Macaca_mulatta,240
44,Papio_hamadryas,232
45,,84
46,,136
47,,196
48,Pongo_pygmaeus,298
49,Gorilla_gorilla,124
50,Homo_sapiens,87
51,Pan_troglodytes,92
52,,41
53,,124
54,,65
55,Hylobates_lar,241
56,,159
57,,260
58,Cebus_albifrons,374
59,,322
60,Tarsius_bancanus,325
61,,50
62,Lemur_catta,312
63,Nycticebus_coucang,301
64,,124
65,,44
66,Cynocephalus_variegatus,348
67,,80
68,Tupaia_belangeri,261
69,,35
70,,84
71,Herpestes_javanicus,226
72,Neofelis_nebulosa,112
73,Felis_catus,69
74,Acinonyx_jubatus,95
75,,20
76,,99
77,,83
78,Vulpes_vulpes,126
79,Canis_lupus,96
80,,158
81,Procyon_lotor,261
82,Enhydra_lutris,169
83,Meles_meles_anakuma,169
84,Martes_melampus,76
85,Gulo_gulo,107
86,,39
87,,28
88,,92
89,,52
90,Ailurus_fulgens_styani,226
91,,40
92,Callorhinus_ursinus,91
93,Eumetopias_jubatus,76
94,Neophoca_cinerea,76
95,Phocarctos_hookeri,69
96,,11
97,Arctocephalus_forsteri,44
98,,29
99,,10
100,Zalophus_californianus,50
101,,61
102,,100
103,Odobenus_rosmarus_rosmarus,263
104,,84
105,Erignathus_barbatus,89
106,Cystophora_cristata,66
107,Halichoerus_grypus,27
108,Phoca_caspica,19
109,,47
110,,36
111,,22
112,Monachus_schauinslandi,110
113,Mirounga_leonina,94
114,Lobodon_carcinophaga,30
115,Leptonychotes_weddellii,23
116,Hydrurga_leptonyx,40
117,,13
118,,26
119,,14
120,,40
121,,67
122,,91
123,,18
124,Ailuropoda_melanoleuca,184
125,Ursus_americanus,158
126,,113
127,,36
128,,55
129,,109
130,Manis_tetradactyla,250
131,,55
132,Equus_asinus,174
133,Rhinoceros_unicornis,123
134,Ceratotherium_simum,98
135,,125
136,,88
137,,30
138,Chalinolobus_tuberculatus,194
139,Pipistrellus_abramus,202
140,,325
141,Mystacina_tuberculata,225
142,Artibeus_jamaicensis,282
143,,90
144,,77
145,Rhinolophus_monoceros,261
146,Rousettus_aegyptiacus,171
147,Pteropus_scapulatus,164
148,,174
149,,65
150,,134
151,,30
152,Sus_scrofa,78
153,Phacochoerus_africanus,75
154,,254
155,Hippopotamus_amphibius,280
156,Balaena_mysticetus,34
157,Eubalaena_australis,24
158,,50
159,Balaenoptera_acutorostrata,92
160,Megaptera_novaeangliae,68
161,Eschrichtius_robustus,92
162,,12
163,,22
164,Caperea_marginata,132
165,,23
166,,69
167,Platanista_minor,274
168,Lagenorhynchus_albirostris,114
169,Monodon_monoceros,145
170,Phocoena_phocoena,140
171,,37
172,,76
173,Lipotes_vexillifer,314
174,Pontoporia_blainvillei,291
175,Inia_geoffrensis,254
176,,75
177,,29
178,,101
179,Hyperoodon_ampullatus,98
180,Berardius_bairdii,130
181,,83
182,,11
183,,28
184,Physeter_catodon,217
185,Kogia_breviceps,188
186,,76
187,,26
188,,227
189,,85
190,Cervus_elaphus,70
191,Muntiacus_muntjak,94
192,Elaphodus_cephalophus,70
193,,10
194,,15
195,Rangifer_tarandus,75
196,,68
197,Pantholops_hodgsonii,81
198,Ammotragus_lervia,96
199,Ovis_aries,69
200,Capra_hircus,121
201,,12
202,,35
203,,53
204,Bubalus_bubalis,96
205,Bos_grunniens,115
206,,46
207,,26
208,,170
209,,44
210,,33
211,Lama_pacos,139
212,Camelus_bactrianus,135
213,,257
214,,83
215,,88
216,Talpa_europaea,97
217,Mogera_wogura,111
218,,74
219,Urotrichus_talpoides,171
220,Galemys_pyrenaicus,308
221,,28
222,,181
223,Crocidura_russula,265
224,Episoriculus_fumidus,168
225,Sorex_unguiculatus,146
226,,107
227,,185
228,Echinosorex_gymnura,266
229,Hemiechinus_auritus,282
230,Erinaceus_europaeus,336
231,,326
232,,309
233,,65
234,,91
235,,126
236,,34
237,Elephantulus_sp._VB001,300
238,Macroscelides_proboscideus,314
239,,318
240,Echinops_telfairi,222
241,Chrysochloris_asiatica,308
242,,101
243,,53
244,Orycteropus_afer,310
245,,84
246,Procavia_capensis,318
247,Dugong_dugon,308
248,Mammut_americanum,144
249,Loxodonta_africana,39
250,Elephas_maximus,43
251,Mammuthus_primigenius,49
252,,19
253,,128
254,,366
255,,96
256,,117
257,,112
258,Bradypus_tridactylus,389
259,Choloepus_didactylus,265
260,,227
261,Dasypus_novemcinctus,335
262,,52
263,Tamandua_tetradactyla,347
264,,170
265,,50
266,,411
267,Ornithorhynchus_anatinus,181
268,Zaglossus_bruijni,46
269,Tachyglossus_aculeatus,57
270,,210
271,,339
272,Dromiciops_gliroides,276
273,Thylamys_elegans,277
274,Phascogale_tapoatafa,211
275,Sminthopsis_crassicaudata,216
276,,46
277,Dasyurus_hallucatus,253
278,,243
279,,70
280,Macrotis_lagotis,237
281,Echymipera_rufescens_australis,137
282,Isoodon_macrourus,47
283,Perameles_gunnii,78
284,,93
285,,87
286,,149
287,,18
288,Pseudocheirus_peregrinus,233
289,Potorous_tridactylus,154
290,Lagorchestes_hirsutus,59
291,Macropus_robustus,77
292,,64
293,,16
294,Lagostrophus_fasciatus,120
295,,144
296,Distoechurus_pennatus,295
297,Trichosurus_vulpecula,135
298,Phalanger_interpositus,232
299,,122
300,Dactylopsila_trivirgata,219
301,Petaurus_breviceps,261
302,,64
303,,14
304,Tarsipes_rostratus,279
305,,18
306,,19
307,,13
308,,40
309,Vombatus_ursinus,197
310,Phascolarctos_cinereus,454
311,,96
312,,71
313,,7
314,Notoryctes_typhlops,275
315,,24
316,,75
317,Caenolestes_fuliginosus,169
318,Rhyncholestes_raphanurus,168
319,,221
320,,59
321,Monodelphis_domestica,269
322,Didelphis_virginiana,63
323,Metachirus_nudicaudatus,54
324,,276
325,,149
326,,379
327,,
