Id,Name,Branch length
0,Sciurus_vulgaris,199
1,Myoxus_glis,0
2,,1218
3,Rattus_norvegicus,2660
4,Mus_musculus,2796
5,,1731
6,Cricetulus_griseus,0
7,Microtus_kikuchii,1549
8,Microtus_rossiaemeridionalis,1357
9,,2439
10,,1567
11,,1873
12,Nannospalax_ehrenbergi,0
13,,1474
14,Jaculus_jaculus,0
15,,1264
16,Anomalurus_sp.,0
17,,516
18,Thryonomys_swinderianus,0
19,Cavia_porcellus,0
20,,2317
21,,383
22,,477
23,Ochotona_princeps,0
24,Lepus_europaeus,1700
25,Oryctolagus_cuniculus,1770
26,,2502
27,,1632
28,,468
29,Presbytis_melalophos,1422
30,Trachypithecus_obscurus,1099
31,Semnopithecus_entellus,1480
32,,135
33,,128
34,Nasalis_larvatus,1031
35,Pygathrix_nemaeus,1303
36,,303
37,,302
38,Procolobus_badius,1372
39,Colobus_guereza,1321
40,,391
41,,875
42,Chlorocebus_aethiops,2142
43,Macaca_mulatta,1377
44,Papio_hamadryas,1333
45,,361
46,,742
47,,1214
48,Pongo_pygmaeus,1499
49,Gorilla_gorilla,840
50,Homo_sapiens,672
51,Pan_troglodytes,619
52,,256
53,,658
54,,383
55,Hylobates_lar,1672
56,,944
57,,2125
58,Cebus_albifrons,0
59,,2804
60,Tarsius_bancanus,0
61,,436
62,Lemur_catta,1644
63,Nycticebus_coucang,0
64,,1111
65,,352
66,Cynocephalus_variegatus,0
67,,671
68,Tupaia_belangeri,0
69,,273
70,,550
71,Herpestes_javanicus,2363
72,Neofelis_nebulosa,1292
73,Felis_catus,822
74,Acinonyx_jubatus,1023
75,,252
76,,1046
77,,838
78,Vulpes_vulpes,1743
79,Canis_lupus,1399
80,,2150
81,Procyon_lotor,2531
82,Enhydra_lutris,1523
83,Meles_meles_anakuma,1912
84,Martes_melampus,973
85,Gulo_gulo,1149
86,,428
87,,233
88,,843
89,,436
90,Ailurus_fulgens_styani,2638
91,,383
92,Callorhinus_ursinus,765
93,Eumetopias_jubatus,451
94,Neophoca_cinerea,453
95,Phocarctos_hookeri,452
96,,72
97,Arctocephalus_forsteri,433
98,,274
99,,55
100,Zalophus_californianus,345
101,,527
102,,808
103,Odobenus_rosmarus_rosmarus,2145
104,,620
105,Erignathus_barbatus,986
106,Cystophora_cristata,686
107,Halichoerus_grypus,165
108,Phoca_caspica,158
109,,523
110,,419
111,,154
112,Monachus_schauinslandi,1057
113,Mirounga_leonina,863
114,Lobodon_carcinophaga,521
115,Leptonychotes_weddellii,307
116,Hydrurga_leptonyx,389
117,,230
118,,234
119,,123
120,,400
121,,549
122,,888
123,,150
124,Ailuropoda_melanoleuca,1869
125,Ursus_americanus,1486
126,,1162
127,,290
128,,450
129,,707
130,Manis_tetradactyla,0
131,,365
132,Equus_asinus,2018
133,Rhinoceros_unicornis,1077
134,Ceratotherium_simum,854
135,,1110
136,,983
137,,207
138,Chalinolobus_tuberculatus,2243
139,Pipistrellus_abramus,2148
140,,3442
141,Mystacina_tuberculata,2929
142,Artibeus_jamaicensis,1018
143,,849
144,,689
145,Rhinolophus_monoceros,3361
146,Rousettus_aegyptiacus,1974
147,Pteropus_scapulatus,2011
148,,1930
149,,591
150,,964
151,,158
152,Sus_scrofa,710
153,Phacochoerus_africanus,939
154,,2982
155,Hippopotamus_amphibius,2500
156,Balaena_mysticetus,314
157,Eubalaena_australis,278
158,,446
159,Balaenoptera_acutorostrata,654
160,Megaptera_novaeangliae,496
161,Eschrichtius_robustus,560
162,,115
163,,270
164,Caperea_marginata,1068
165,,135
166,,426
167,Platanista_minor,1924
168,Lagenorhynchus_albirostris,1025
169,Monodon_monoceros,948
170,Phocoena_phocoena,1315
171,,260
172,,483
173,Lipotes_vexillifer,2019
174,Pontoporia_blainvillei,2082
175,Inia_geoffrensis,1581
176,,415
177,,113
178,,506
179,Hyperoodon_ampullatus,992
180,Berardius_bairdii,1071
181,,572
182,,48
183,,137
184,Physeter_catodon,1461
185,Kogia_breviceps,1482
186,,449
187,,135
188,,1696
189,,670
190,Cervus_elaphus,847
191,Muntiacus_muntjak,1005
192,Elaphodus_cephalophus,951
193,,123
194,,183
195,Rangifer_tarandus,1166
196,,711
197,Pantholops_hodgsonii,848
198,Ammotragus_lervia,742
199,Ovis_aries,814
200,Capra_hircus,850
201,,97
202,,291
203,,539
204,Bubalus_bubalis,1033
205,Bos_grunniens,1179
206,,496
207,,179
208,,1679
209,,367
210,,247
211,Lama_pacos,1513
212,Camelus_bactrianus,1641
213,,2920
214,,614
215,,639
216,Talpa_europaea,1516
217,Mogera_wogura,1657
218,,932
219,Urotrichus_talpoides,2604
220,Galemys_pyrenaicus,3025
221,,298
222,,1853
223,Crocidura_russula,0
224,Episoriculus_fumidus,2768
225,Sorex_unguiculatus,2379
226,,1092
227,,1745
228,Echinosorex_gymnura,0
229,Hemiechinus_auritus,2226
230,Erinaceus_europaeus,2670
231,,0
232,,2892
233,,595
234,,823
235,,853
236,,218
237,Elephantulus_sp._VB001,3214
238,Macroscelides_proboscideus,2
239,,3158
240,Echinops_telfairi,0
241,Chrysochloris_asiatica,0
242,,1017
243,,489
244,Orycteropus_afer,0
245,,682
246,Procavia_capensis,0
247,Dugong_dugon,3683
248,Mammut_americanum,873
249,Loxodonta_africana,245
250,Elephas_maximus,303
251,Mammuthus_primigenius,303
252,,122
253,,826
254,,0
255,,939
256,,1053
257,,900
258,Bradypus_tridactylus,2515
259,Choloepus_didactylus,1658
260,,2284
261,Dasypus_novemcinctus,0
262,,478
263,Tamandua_tetradactyla,0
264,,1583
265,,369
266,,3664
267,Ornithorhynchus_anatinus,2341
268,Zaglossus_bruijni,423
269,Tachyglossus_aculeatus,475
270,,2278
271,,0
272,Dromiciops_gliroides,3640
273,Thylamys_elegans,0
274,Phascogale_tapoatafa,2830
275,Sminthopsis_crassicaudata,3247
276,,507
277,Dasyurus_hallucatus,3255
278,,2728
279,,683
280,Macrotis_lagotis,3105
281,Echymipera_rufescens_australis,1800
282,Isoodon_macrourus,1012
283,Perameles_gunnii,1281
284,,973
285,,1030
286,,1651
287,,152
288,Pseudocheirus_peregrinus,3440
289,Potorous_tridactylus,2295
290,Lagorchestes_hirsutus,1011
291,Macropus_robustus,1050
292,,728
293,,171
294,Lagostrophus_fasciatus,1624
295,,1626
296,Distoechurus_pennatus,2187
297,Trichosurus_vulpecula,1493
298,Phalanger_interpositus,2024
299,,1427
300,Dactylopsila_trivirgata,2931
301,Petaurus_breviceps,3194
302,,866
303,,144
304,Tarsipes_rostratus,4
305,,198
306,,200
307,,138
308,,370
309,Vombatus_ursinus,2123
310,Phascolarctos_cinereus,405
311,,1047
312,,767
313,,52
314,Notoryctes_typhlops,0
315,,191
316,,595
317,Caenolestes_fuliginosus,2056
318,Rhyncholestes_raphanurus,2043
319,,2479
320,,482
321,Monodelphis_domestica,3478
322,Didelphis_virginiana,628
323,Metachirus_nudicaudatus,604
324,,3076
325,,1416
326,,3638
327,,
