Id,Name,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species
0,Sciurus_vulgaris,1.36049,Sciuridae,Sciurus,Rodentia,Sciurinae,Sciurognathi,600,vulgaris
10,,0.481211,Cricetidae,,Rodentia,,Sciurognathi,NA,
100,Zalophus_californianus,0.108504,Otariidae,Zalophus,Carnivora,,Caniformia,180000,californianus
101,,0.161865,Otariidae,,Carnivora,,Caniformia,NA,
102,,0.250804,Otariidae,,Carnivora,,Caniformia,NA,
103,Odobenus_rosmarus_rosmarus,0.662899,Odobenidae,Odobenus,Carnivora,,Caniformia,1012500,rosmarus
104,,0.193443,,,Carnivora,,Caniformia,NA,
105,Erignathus_barbatus,0.300785,Phocidae,Erignathus,Carnivora,,Caniformia,373000,barbatus
106,Cystophora_cristata,0.206096,Phocidae,Cystophora,Carnivora,,Caniformia,405000,cristata
107,Halichoerus_grypus,0.0522716,Phocidae,Halichoerus,Carnivora,,Caniformia,268000,grypus
108,Phoca_caspica,0.0488525,Phocidae,Phoca,Carnivora,,Caniformia,NA,caspica
109,,0.157742,Phocidae,,Carnivora,,Caniformia,NA,
11,,0.575659,,,Rodentia,,Sciurognathi,NA,
110,,0.12679,Phocidae,,Carnivora,,Caniformia,NA,
111,,0.0480799,Phocidae,,Carnivora,,Caniformia,NA,
112,Monachus_schauinslandi,0.329029,Phocidae,Monachus,Carnivora,,Caniformia,222500,schauinslandi
113,Mirounga_leonina,0.268423,Phocidae,Mirounga,Carnivora,,Caniformia,1400000,leonina
114,Lobodon_carcinophaga,0.157214,Phocidae,Lobodon,Carnivora,,Caniformia,250000,carcinophaga
115,Leptonychotes_weddellii,0.0933986,Phocidae,Leptonychotes,Carnivora,,Caniformia,425000,weddellii
116,Hydrurga_leptonyx,0.12242,Phocidae,Hydrurga,Carnivora,,Caniformia,367750,leptonyx
117,,0.0690572,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
118,,0.0728824,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
119,,0.0387614,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
120,,0.123323,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
121,,0.16998,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
122,,0.265723,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
123,,0.0451675,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,
124,Ailuropoda_melanoleuca,0.549302,Ursidae,Ailuropoda,Carnivora,,Caniformia,117500,melanoleuca
125,Ursus_americanus,0.438611,Ursidae,Ursus,Carnivora,,Caniformia,154250,americanus
126,,0.341734,Ursidae,,Carnivora,,Caniformia,NA,
127,,0.0872033,,,Carnivora,,Caniformia,NA,
128,,0.136728,,,Carnivora,,Caniformia,NA,
129,,0.218886,,,Carnivora,,Caniformia,NA,
12,Nannospalax_ehrenbergi,1.92696,Spalacidae,Nannospalax,Rodentia,Spalacinae,Sciurognathi,160,ehrenbergi
13,,0.450575,,,Rodentia,,Sciurognathi,NA,
130,Manis_tetradactyla,2.1421,Manidae,,Pholidota,,,NA,
131,,0.113758,,,,,,NA,
132,Equus_asinus,0.607204,Equidae,Equus,Perissodactyla,,,164998,asinus
133,Rhinoceros_unicornis,0.335043,Rhinocerotidae,Rhinoceros,Perissodactyla,,,1602330,unicornis
134,Ceratotherium_simum,0.262223,Rhinocerotidae,Ceratotherium,Perissodactyla,,,2175000,simum
135,,0.341829,Rhinocerotidae,,Perissodactyla,,,NA,
136,,0.293477,Rhinocerotidae,,Perissodactyla,,,NA,
137,,0.0642177,,,,,,NA,
138,Chalinolobus_tuberculatus,0.660583,Vespertilionidae,Chalinolobus,Chiroptera,,Microchiroptera,NA,tuberculatus
139,Pipistrellus_abramus,0.637574,Vespertilionidae,Pipistrellus,Chiroptera,,Microchiroptera,NA,abramus
140,,1.03126,Vespertilionidae,,Chiroptera,,Microchiroptera,NA,
141,Mystacina_tuberculata,0.866213,Mystacinidae,Mystacina,Chiroptera,,Microchiroptera,23.5,tuberculata
142,Artibeus_jamaicensis,1.26008,Phyllostomidae,Artibeus,Chiroptera,Stenodermatinae,Microchiroptera,42.2,jamaicensis
143,,0.254246,,,Chiroptera,,Microchiroptera,NA,
144,,0.206245,,,Chiroptera,,Microchiroptera,NA,
145,Rhinolophus_monoceros,1.00866,Rhinolophidae,Rhinolophus,Chiroptera,Rhinolophinae,Microchiroptera,NA,monoceros
146,Rousettus_aegyptiacus,0.588383,Pteropodidae,Rousettus,Chiroptera,Pteropodinae,Megachiroptera,NA,aegyptiacus
147,Pteropus_scapulatus,0.600379,Pteropodidae,Pteropus,Chiroptera,Pteropodinae,Megachiroptera,300,scapulatus
148,,0.576779,,,Chiroptera,,,NA,
149,,0.178122,,,Chiroptera,,,NA,
14,Jaculus_jaculus,2.18438,Dipodidae,Jaculus,Rodentia,Dipodinae,Sciurognathi,55,jaculus
15,,0.387974,,,Rodentia,,Sciurognathi,NA,
150,,0.297984,,,Chiroptera,,,NA,
151,,0.050332,,,,,,NA,
152,Sus_scrofa,0.22292,Suidae,Sus,,,,180000,scrofa
153,Phacochoerus_africanus,0.288674,Suidae,Phacochoerus,,,,1e+05,africanus
154,,0.914822,Suidae,,,,,NA,
155,Hippopotamus_amphibius,0.777158,Hippopotamidae,Hippopotamus,,,,3750000,amphibius
156,Balaena_mysticetus,0.0972227,Balaenidae,Balaena,Cetacea,,Mysticeti,1e+08,mysticetus
157,Eubalaena_australis,0.0827187,Balaenidae,Eubalaena,Cetacea,,Mysticeti,4.5e+07,australis
158,,0.137286,Balaenidae,,Cetacea,,Mysticeti,NA,
159,Balaenoptera_acutorostrata,0.20553,Balaenopteridae,Balaenoptera,Cetacea,,Mysticeti,7500000,acutorostrata
160,Megaptera_novaeangliae,0.156668,Balaenopteridae,Megaptera,Cetacea,,Mysticeti,3e+07,novaeangliae
161,Eschrichtius_robustus,0.179846,Eschrichtiidae,Eschrichtius,Cetacea,,Mysticeti,28500000,robustus
162,,0.0358546,,,Cetacea,,Mysticeti,NA,
163,,0.0815931,,,Cetacea,,Mysticeti,NA,
164,Caperea_marginata,0.33028,Neobalaenidae,Caperea,Cetacea,,Mysticeti,NA,marginata
165,,0.0430242,,,Cetacea,,Mysticeti,NA,
166,,0.138475,,,Cetacea,,Mysticeti,NA,
167,Platanista_minor,0.611807,Platanistidae,Platanista,Cetacea,,Odontoceti,NA,minor
168,Lagenorhynchus_albirostris,0.313598,Delphinidae,Lagenorhynchus,Cetacea,,Odontoceti,NA,albirostris
169,Monodon_monoceros,0.301182,Monodontidae,Monodon,Cetacea,,Odontoceti,1250000,monoceros
16,Anomalurus_sp.,2.48728,Anomaluridae,Anomalurus,Rodentia,,Sciurognathi,NA,sp.
17,,0.158861,,,Rodentia,,Sciurognathi,NA,
170,Phocoena_phocoena,0.396822,Phocoenidae,Phocoena,Cetacea,,Odontoceti,52500,phocoena
171,,0.0823285,,,Cetacea,,Odontoceti,NA,
172,,0.154264,,,Cetacea,,Odontoceti,NA,
173,Lipotes_vexillifer,0.652231,Lipotidae,Lipotes,Cetacea,,Odontoceti,83500,vexillifer
174,Pontoporia_blainvillei,0.657117,Pontoporiidae,Pontoporia,Cetacea,,Odontoceti,40500,blainvillei
175,Inia_geoffrensis,0.504161,Iniidae,Inia,Cetacea,,Odontoceti,84000,geoffrensis
176,,0.134285,,,Cetacea,,Odontoceti,NA,
177,,0.039156,,,Cetacea,,Odontoceti,NA,
178,,0.169098,,,Cetacea,,Odontoceti,NA,
