Id,Name,dn,ds,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species,FAM
0,Sciurus_vulgaris,321,4237,1.36049,Sciuridae,Sciurus,Rodentia,Sciurinae,Sciurognathi,600,vulgaris, Rodentia Sciuridae
10,,165,1554,0.481211,Cricetidae,,Rodentia,,Sciurognathi,NA,, Rodentia Cricetidae
100,Zalophus_californianus,50,346,0.108504,Otariidae,Zalophus,Carnivora,,Caniformia,180000,californianus, Carnivora Otariidae
101,,61,525,0.161865,Otariidae,,Carnivora,,Caniformia,NA,, Carnivora Otariidae
102,,100,805,0.250804,Otariidae,,Carnivora,,Caniformia,NA,, Carnivora Otariidae
103,Odobenus_rosmarus_rosmarus,263,2135,0.662899,Odobenidae,Odobenus,Carnivora,,Caniformia,1012500,rosmarus, Carnivora Odobenidae
104,,84,618,0.193443,,,Carnivora,,Caniformia,NA,, Carnivora 
105,Erignathus_barbatus,89,985,0.300785,Phocidae,Erignathus,Carnivora,,Caniformia,373000,barbatus, Carnivora Phocidae
106,Cystophora_cristata,66,685,0.206096,Phocidae,Cystophora,Carnivora,,Caniformia,405000,cristata, Carnivora Phocidae
107,Halichoerus_grypus,27,165,0.0522716,Phocidae,Halichoerus,Carnivora,,Caniformia,268000,grypus, Carnivora Phocidae
108,Phoca_caspica,19,158,0.0488525,Phocidae,Phoca,Carnivora,,Caniformia,NA,caspica, Carnivora Phocidae
109,,47,523,0.157742,Phocidae,,Carnivora,,Caniformia,NA,, Carnivora Phocidae
11,,217,1853,0.575659,,,Rodentia,,Sciurognathi,NA,, Rodentia 
110,,36,418,0.12679,Phocidae,,Carnivora,,Caniformia,NA,, Carnivora Phocidae
111,,22,154,0.0480799,Phocidae,,Carnivora,,Caniformia,NA,, Carnivora Phocidae
112,Monachus_schauinslandi,110,1054,0.329029,Phocidae,Monachus,Carnivora,,Caniformia,222500,schauinslandi, Carnivora Phocidae
113,Mirounga_leonina,94,861,0.268423,Phocidae,Mirounga,Carnivora,,Caniformia,1400000,leonina, Carnivora Phocidae
114,Lobodon_carcinophaga,30,521,0.157214,Phocidae,Lobodon,Carnivora,,Caniformia,250000,carcinophaga, Carnivora Phocidae
115,Leptonychotes_weddellii,23,307,0.0933986,Phocidae,Leptonychotes,Carnivora,,Caniformia,425000,weddellii, Carnivora Phocidae
116,Hydrurga_leptonyx,40,389,0.12242,Phocidae,Hydrurga,Carnivora,,Caniformia,367750,leptonyx, Carnivora Phocidae
117,,13,230,0.0690572,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,, Carnivora Phocidae
118,,26,234,0.0728824,Phocidae,Hydrurga,Carnivora,,Caniformia,NA,, Carnivora Phocidae
