"Genus"	"species"	"subfamily"	"family"	"suborder"	"order"	"supraorder"	"mass"	"longevity"	"metabolism"	"maturity_F"	"maturity_M"	"gestation"
"Ovis"	"aries"	"Caprinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	110000	22.8	"NA"	548	914	146
"Ammotragus"	"lervia"	"Caprinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	92500	21.7	"NA"	335	"NA"	149
"Capra"	"hircus"	"Caprinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	61000	20.8	"NA"	406	685	155
"Bubalus"	"bubalis"	"Bovinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	725000	34.9	"NA"	502	"NA"	311
"Bos"	"grunniens"	"Bovinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	667000	26.3	"NA"	738	738	274
"Bos"	"javanicus"	"Bovinae"	"Bovidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	"7e+05"	27.1	"NA"	730	"NA"	295
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Gulo"	"gulo"	"Mustelinae"	"Mustelidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	16333.3	19.5	31.765	710	776	35
"Ailuropoda"	"melanoleuca"	"??"	"Ursidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	117500	36.8	"NA"	2192	2192	48
"Ursus"	"americanus"	"??"	"Ursidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	154250	34	"NA"	1278	1278	70
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Halichoerus"	"grypus"	"??"	"Phocidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	268000	42.9	"NA"	1460	1887	240
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Arctocephalus"	"australis"	"??"	"Otariidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	110000	30.6	"NA"	1095	2556	236
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Neophoca"	"cinerea"	"??"	"Otariidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	190000	24.1	"NA"	1095	2191	258
"Eumetopias"	"jubatus"	"??"	"Otariidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	415000	32.8	"NA"	1780	2420	274
"Zalophus"	"californianus"	"??"	"Otariidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	180000	35.7	"NA"	1095	1826	259
