Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-19467.6	64	39063.2	39460.7
0	2	-19448.9	65	39027.7	39431.4
0.000112	3	-19441.4	66	39014.7	39424.6
0.0065138	4	-19437.8	67	39009.6	39425.8
0.128156	5	-19436.7	68	39009.3	39431.7
0.321936	6	-19436.2	69	39010.4	39439
0.325255	7	-19435.7	70	39011.4	39446.2
0.354847	8	-19435.3	71	39012.6	39453.6
0.409706	9	-19435	72	39014.1	39461.3
0.449498	11	-19434.5	74	39017	39476.6
0.494098	12	-19434.2	75	39018.4	39484.2
0.4988	13	-19434	76	39019.9	39491.9
0.563562	15	-19433.6	78	39023.3	39507.7
0.671456	18	-19433.4	81	39028.8	39531.8
0.689066	19	-19433.3	82	39030.6	39539.9
