Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-19467.6	64	39063.2	39065.5	39460.7
0	2	-19450.6	65	39031.2	39033.6	39434.9
0.0011336	3	-19445.4	66	39022.7	39025.2	39432.6
0.0130752	4	-19442.4	67	39018.8	39021.3	39434.9
0.147042	5	-19441.3	68	39018.6	39021.2	39440.9
0.426119	6	-19441	69	39020	39022.7	39448.5
0.49472	7	-19440.7	70	39021.5	39024.2	39456.2
0.659182	8	-19440.6	71	39023.3	39026.1	39464.3
0.659778	9	-19440.6	72	39025.2	39028.1	39472.4
0.697329	10	-19440.5	73	39027	39030	39480.4
0.74055	11	-19440.5	74	39028.9	39032	39488.5
0.748495	12	-19440.4	75	39030.8	39034	39496.6
0.786934	13	-19440.4	76	39032.7	39036	39504.8
