Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-19467.6	64	39063.2	39460.7
0.0010451	2	-19462.2	65	39054.5	39458.2
0.00879866	3	-19458.8	66	39049.6	39459.5
0.0395635	4	-19456.7	67	39047.3	39463.4
0.0747791	5	-19455	68	39046	39468.3
0.0869426	7	-19452	70	39043.9	39478.7
0.138042	8	-19451.1	71	39044.2	39485.2
0.138042	9	-19450	72	39044	39491.2
0.154992	12	-19447.1	75	39044.1	39509.9
0.177487	13	-19446.2	76	39044.3	39516.4
0.197203	14	-19445.3	77	39044.7	39522.9
0.205858	15	-19444.6	78	39045.1	39529.6
0.214574	17	-19443.5	80	39047	39543.9
0.214575	18	-19443	81	39048	39551.1
0.220502	19	-19442.3	82	39048.5	39557.8
0.251747	20	-19441.6	83	39049.1	39564.6
