Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-19467.6	64	39063.2	39065.5	39460.7
0.0010367	2	-19462.2	65	39054.5	39056.8	39458.2
0.00873196	3	-19458.8	66	39049.6	39052	39459.5
0.0394874	4	-19456.7	67	39047.3	39049.8	39463.4
0.0746238	5	-19455	68	39046	39048.6	39468.3
0.0871517	7	-19452	70	39043.9	39046.7	39478.7
0.154987	9	-19450	72	39044	39046.9	39491.2
0.160209	12	-19447.1	75	39044.1	39047.3	39509.9
0.177487	13	-19446.2	76	39044.3	39047.6	39516.4
0.20626	14	-19445.3	77	39044.7	39048	39522.9
0.214826	15	-19444.6	78	39045.1	39048.5	39529.6
0.220502	16	-19443.8	79	39045.6	39049.1	39536.3
