0	1	2	3	4
1	1	2	3	4
2	1	2	3	5
3	1	2	3	4
4	1	2	3	4
5	1	2	3	4
6	1	2	3	4
7	1	2	3	4
8	1	2	3	4
9	1	2	3	4
10	1	2	3	4
11	1	2	3	4
12	1	2	3	4
13	1	2	4	3
14	1	2	3	4
15	1	2	3	4
16	1	2	3	4
17	1	2	3	4
18	1	2	3	4
19	1	2	3	4
20	1	2	3	4
21	1	2	3	4
22	1	2	3	4
23	1	2	3	4
24	1	2	3	4
25	1	2	3	4
26	1	2	3	4
27	1	2	3	4
28	1	2	3	4
29	1	2	3	4
30	1	2	3	4
31	1	2	3	4
32	1	2	3	4
33	1	2	3	4
34	1	2	3	4
35	1	2	3	4
36	2	1	1	1
37	1	2	3	4
38	1	2	3	4
39	1	2	3	4
40	1	2	3	4
41	1	2	3	4
42	1	2	3	4
43	1	2	3	4
44	1	2	3	4
45	1	2	3	4
46	1	2	3	4
47	1	3	2	2
48	1	3	2	2
49	1	3	2	2
50	1	3	2	2
51	1	3	2	2
52	1	2	3	4
